,Company,Notional Recovery Rate,Recovery rate,Running Spread,Sprd at Maturity,6 Mo,1 Yr,2 Yr,3 Yr,4 Yr,5 Yr,7 Yr,10 Yr
1,Advanced Micro D,2000000,0.4,500,19.85,20.41,19.85,26,32.93,38.17,43.97,63.96,83.16
2,Ally Financial Inc,2000000,0.4,500,62.87,48.64,62.87,86.26,106.7,129.64,152.69,196.98,227.14
3,Altria Group Inc,2000000,0.4,100,15.99,12.08,15.99,20.82,28.86,35.19,41.79,61.33,75.79
4,Amazon.com Inc,2000000,0.25,100,20.72,16.8,20.72,26.18,31.27,35.86,39.76,53.97,65.17
5,American Electri,2000000,0.4,100,13.28,10.54,13.28,17.13,23.78,28.47,33.36,50.54,67.06
6,American Expres,2000000,0.4,100,14.35,12.34,14.35,18.43,23.48,27.5,30.3,46.4,59.38
7,American Interna,2000000,0.4,100,24.85,21.84,24.85,32.32,42.99,51.21,61.47,86.06,104.04
8,Amgen Inc,2000000,0.4,100,13.38,12.01,13.38,20.24,26.65,31.77,35.01,51.08,69.97
9,APA Corp,2000000,0.4,100,41.53,36.28,41.53,55.14,73.03,93.72,107.24,135.84,159.42
10,Arrow Electronic,2000000,0.4,100,26,23.89,26,37.45,51.65,67.88,79.17,102.73,122.34
11,AT&T Inc,2000000,0.4,100,34.33,28.17,34.33,41.94,47.69,54.67,63.27,85.36,100.29
12,AutoZone Inc,2000000,0.4,100,15.68,10.01,15.68,20.69,24.69,29.69,35.62,51.7,69.25
13,Avnet Inc,2000000,0.4,100,26.1,24.38,26.1,39.56,56.89,74.59,88.12,120.26,144.51
14,Barrick Mining C,2000000,0.4,100,13.29,7.84,13.29,18.83,24.63,31.74,38.13,58.35,76.73
15,Baxter Internatio,2000000,0.4,100,27.89,20.6,27.89,40.66,51.4,68.93,86.12,113.06,129.69
16,Best Buy Co Inc,2000000,0.4,500,23.31,17.83,23.31,33.07,40.76,53.21,64.71,86.95,110.68
17,Block Financial L,2000000,0.4,500,29.15,25.46,29.15,38.28,51.1,61.33,70.29,106.63,134.59
18,BorgWarner Inc,2000000,0.4,100,22.69,18.51,22.69,30.62,39.3,47.9,55.64,78.76,98.06
19,Boston Scientific,2000000,0.4,100,13.17,11.01,13.17,17.58,20.53,28.08,32.82,50.68,64.19
20,Bristol-Myers Sq,2000000,0.4,100,15.44,14.48,15.44,20.17,25.56,30.74,36.99,52.79,67.78
21,Broadcom Inc,2000000,0.4,100,16.52,15.21,16.52,20.77,27.1,33.62,38.51,57.33,70.61
22,Canadian Natura,2000000,0.4,100,16.52,15.21,16.52,20.77,27.1,33.62,56.12,84.29,104.86
23,Capital One Finan,2000000,0.4,100,28.55,21.68,28.55,38.21,48.22,56.16,77.79,103.85,128.05
24,Cardinal Health I,2000000,0.4,100,16.76,13.94,16.76,19.17,25.72,30.62,43.79,65.73,78.23
25,Caterpillar Inc,2000000,0.4,100,12.58,8.43,12.58,17.32,23.65,29.25,37.99,60.84,80.87
26,Cisco Systems In,2000000,0.4,100,12.35,11.09,12.35,15.03,20.29,24.81,29.25,44.72,55.87
27,Comcast Corp,2000000,0.4,100,24.72,17.62,24.72,30.47,41.44,50.59,58.36,73.81,92.51
28,Conagra Brands,2000000,0.4,100,28.17,24.53,28.17,36.58,51.91,67.04,42.77,63.31,77.76
29,ConocoPhillips,2000000,0.4,100,14.68,13.01,14.68,20.92,27.53,35.18,37.04,53.45,72.24
30,Cox Communicat,2000000,0.4,100,20.92,16.45,20.92,28.35,39.5,51.8,67.74,88.24,106.74
31,CSX Corp,2000000,0.4,100,10.05,8.13,10.05,13.34,18.36,21.98,27.48,44.69,55.84
32,CVS Health Corp,2000000,0.4,100,18.03,16.72,18.03,27.48,36.42,42.69,50.85,76.4,96.53
33,DR Horton Inc,2000000,0.4,100,26.05,21.99,26.05,33.47,41.87,49.69,56.85,77.97,95.3
34,Danaher Corp,2000000,0.4,100,10.73,7.9,10.73,14.07,19.39,23.98,30.77,54.84,69.35
35,Darden Restaura,2000000,0.4,100,14.38,12.52,14.38,19.25,24.18,30.77,34.28,50.8,69.35
36,Deere & Co,2000000,0.4,100,19.63,15.05,19.63,29.7,43.31,59.02,72.44,103.5,124.69
37,Dell Inc,2000000,0.4,100,19.63,15.05,19.63,29.7,43.31,59.02,72.44,103.5,124.69
38,Delta Air Lines I,2000000,0.4,500,45.27,38.19,45.27,55.74,73.62,91.59,106.68,146.2,169.69
39,Devon Energy Co,2000000,0.4,100,34.91,31.21,34.91,49.49,66.17,80.58,94.88,129.62,154.49
40,Dominion Energy,2000000,0.4,100,15.18,9.71,15.18,22.81,28.36,34.64,41.21,60.11,73.71
41,DXC Technology,2000000,0.4,500,38.96,34.57,38.96,65.8,82.49,120.76,162.69,209.93,236.19
42,Eastman Chemica,2000000,0.4,100,28.93,24.25,28.93,44.19,63.34,80.55,96.74,127.3,146.36
43,Enbridge Inc,2000000,0.4,100,29.01,22.88,29.01,39.61,45.67,53.45,61.56,89.34,110.62
44,Energy Transfer,2000000,0.4,100,23.76,21.65,23.76,35.71,43.9,53.1,60.88,90.34,117.52
45,Exelon Corp,2000000,0.4,100,13.44,11.79,13.44,17.79,23.79,28.44,34.07,49.92,66.59
46,Expedia Group In,2000000,0.4,100,17.87,12.7,17.87,26.84,37.19,48.85,61.04,92.94,106.26
47,FedEx Corp,2000000,0.4,100,21.84,18.61,21.84,28.81,38.88,46.7,54.12,75.53,93.55
48,FirstEnergy Corp,2000000,0.4,100,18.39,14.15,18.39,27.57,35.08,40.8,47.1,71.71,89.02
49,Ford Motor Co,2000000,0.4,500,82,71.04,82,103.86,124.88,143.75,163.98,207.28,227.08
50,Freeport-McMoRa,2000000,0.4,100,21.65,17.91,21.65,33.92,49.41,65.29,78.1,108.86,132.5
51,General Electric,2000000,0.4,100,12.02,9.9,12.02,14.83,19.35,26.11,31.39,50.89,72.87
52,General Mills Inc,2000000,0.4,100,18.45,14.56,18.45,23,32.55,39.01,48.32,65.98,83.45
53,General Motors C,2000000,0.4,500,38.09,33.37,38.09,54.3,70.86,90.34,106.63,152.14,169.7
54,Halliburton Co,2000000,0.4,100,22.24,20.53,22.24,30.33,38.16,50.27,60.98,85.98,109.02
55,HCA Inc,2000000,0.4,500,22.78,16.44,22.78,33.68,44.05,52.75,57.45,83,104.18
56,Honeywell Intern,2000000,0.4,100,12.09,8.71,12.09,15.31,18.91,21.96,27.17,39.8,52.49
57,Host Hotels & Re,2000000,0.4,100,32.59,27.85,32.59,43.61,55.25,68.7,80.94,117.51,142.1
58,HP Inc,2000000,0.4,100,22.79,17.6,22.79,35.16,50.96,65.3,78.19,103.4,132.76
59,Intel Corp,2000000,0.4,100,29.06,22.27,29.06,37.34,46.01,59.21,71.54,90.46,105.93
60,International Bu,2000000,0.4,100,16.85,11.87,16.85,21.18,30.01,36.93,43.72,63.11,77.49
61,International Pa,2000000,0.4,100,21.39,17.81,21.39,31.07,42.37,52.78,66.36,88.68,99.07
62,Johnson & Johns,2000000,0.4,100,13.54,11.1,13.54,15.37,16.82,19.57,23.64,40.98,59.67
63,Johnson Controls,2000000,0.4,100,14.48,11.86,14.48,17.58,23.61,30.8,37.79,60.35,76.97
64,Kinder Morgan In,2000000,0.4,100,23.12,17.99,23.12,32.01,40.69,50.31,59.21,85.35,105.83
65,Kraft Heinz Food,2000000,0.4,100,20.21,14.61,20.21,29.85,37.57,46.32,54.29,83.82,107.8
66,Lennar Corp,2000000,0.4,500,31.88,34.07,31.88,43.67,56.56,69.99,79.66,115.48,135.31
67,Lincoln National,2000000,0.4,100,48.83,41.02,48.83,67.78,84.02,106.9,120.07,151.32,172.67
68,Lockheed Martin,2000000,0.4,100,11.31,9.31,11.31,14,18.41,22.29,25.88,40.77,54.32
69,Lowe's Cos Inc,2000000,0.4,100,14.57,10.49,14.57,20.01,27.59,31.82,38.43,54.26,71.45
70,Sekisui House US,2000000,0.4,100,31.1,24.01,31.1,40.23,50.9,61.22,65.56,88.69,117.53
71,Marathon Petrole,2000000,0.4,500,24.38,19.96,24.38,32.46,42.12,52.99,62.99,92,116.52
72,McDonald's Corp,2000000,0.4,100,11.35,10.68,11.35,15.5,18.96,22.68,26.85,39.11,51.94
73,McKesson Corp,2000000,0.4,100,14.21,13.49,14.21,18.74,25.03,28.74,35.69,58.35,77.37
74,MetLife Inc,2000000,0.4,100,27.17,23.98,27.17,36.64,48.15,56.75,67.95,93.67,111.49
75,Mondelez Interna,2000000,0.4,100,19.48,15.94,19.48,27.3,32.05,38.21,44.36,63.66,78.21
76,Motorola Solution,2000000,0.4,100,17.03,11.04,17.03,22.15,29.97,36.15,42.47,59.5,78.46
77,National Rural U,2000000,0.4,100,9.23,7.73,9.23,12.21,16.91,19.69,23.57,41.71,54.13
78,Netflix Inc,2000000,0.4,500,15.72,13.04,15.72,19.95,25.83,31.33,36,54.89,62.56
79,Newmont Corp,2000000,0.4,100,14.94,9.24,14.94,20.03,25.57,32.64,38.36,58.35,79.95
80,NextEra Energy C,2000000,0.4,100,26.66,16.3,26.66,35.14,44.27,54.26,63.04,94.1,114.55
81,Norfolk Southern,2000000,0.4,100,10.33,7.86,10.33,13.03,16.7,19.55,22.89,37.89,55.34
82,Northrop Grumm,2000000,0.4,100,10.56,7.33,10.56,14.72,18.82,22.56,25.72,38.41,49.99
83,Occidental Petro,2000000,0.4,100,48.22,43.29,48.22,60.74,73.89,82.54,93.55,123.23,146.58
84,Omnicom Group,2000000,0.4,100,18.56,14.02,18.56,24.81,33.56,40.39,51.46,67.5,85.48
